_id,Id_NIL,NIL,Titolo di studio,Valori
312,52,Bande Nere  ,Titoli universitari o para-universitari,9058
313,53,Lorenteggio  ,Titoli universitari o para-universitari,1988
314,54,Muggiano  ,Titoli universitari o para-universitari,327
315,55,Baggio  ,Titoli universitari o para-universitari,2571
316,56,Forze Armate  ,Titoli universitari o para-universitari,2711
317,57,Selinunte  ,Titoli universitari o para-universitari,3491
318,58,De Angeli - Monte Rosa  ,Titoli universitari o para-universitari,6897
319,59,Tre Torri  ,Titoli universitari o para-universitari,541
320,60,S. Siro  ,Titoli universitari o para-universitari,3288
321,61,Quarto Cagnino  ,Titoli universitari o para-universitari,1342
322,62,Quinto Romano  ,Titoli universitari o para-universitari,447
323,63,Figino  ,Titoli universitari o para-universitari,154
324,64,Trenno  ,Titoli universitari o para-universitari,567
325,65,Gallaratese  ,Titoli universitari o para-universitari,3371
326,66,QT 8,Titoli universitari o para-universitari,1180
327,67,Portello  ,Titoli universitari o para-universitari,2360
328,68,Pagano  ,Titoli universitari o para-universitari,6715
329,69,Sarpi  ,Titoli universitari o para-universitari,8056
330,70,Ghisolfa  ,Titoli universitari o para-universitari,3728
331,71,Villapizzone  ,Titoli universitari o para-universitari,4767
332,72,Maggiore - Musocco  ,Titoli universitari o para-universitari,614
333,73,Cascina Triulza - Expo  ,Titoli universitari o para-universitari,7
334,74,Sacco  ,Titoli universitari o para-universitari,21
335,75,Stephenson  ,Titoli universitari o para-universitari,0
336,76,Quarto Oggiaro  ,Titoli universitari o para-universitari,1722
337,77,Bovisa  ,Titoli universitari o para-universitari,1721
338,78,Farini  ,Titoli universitari o para-universitari,598
339,79,Dergano  ,Titoli universitari o para-universitari,2851
340,80,Affori  ,Titoli universitari o para-universitari,2895
341,81,Bovisasca  ,Titoli universitari o para-universitari,723
342,82,Comasina  ,Titoli universitari o para-universitari,681
343,83,Bruzzano  ,Titoli universitari o para-universitari,1278
344,84,Parco Nord  ,Titoli universitari o para-universitari,12
345,85,Parco delle Abbazie  ,Titoli universitari o para-universitari,42
346,86,Parco dei Navigli  ,Titoli universitari o para-universitari,56
347,87,Parco Agricolo Sud  ,Titoli universitari o para-universitari,20
348,88,Parco Bosco in Citta'  ,Titoli universitari o para-universitari,51
349,1,Duomo  ,Minori di 6 anni,791
350,2,Brera  ,Minori di 6 anni,1033
351,3,Giardini Porta Venezia  ,Minori di 6 anni,2
352,4,Guastalla  ,Minori di 6 anni,831
353,5,Vigentina  ,Minori di 6 anni,655
354,6,Ticinese  ,Minori di 6 anni,894
355,7,Magenta - S. Vittore  ,Minori di 6 anni,912
356,9,Garibaldi Repubblica  ,Minori di 6 anni,208
357,10,Centrale  ,Minori di 6 anni,854
358,11,Isola  ,Minori di 6 anni,1055
359,12,Maciachini - Maggiolina  ,Minori di 6 anni,1238
360,13,Greco  ,Minori di 6 anni,851
361,14,Niguarda - Ca Granda ,Minori di 6 anni,1628
362,15,Bicocca  ,Minori di 6 anni,435
363,16,Viale Monza  ,Minori di 6 anni,1463
364,17,Adriano  ,Minori di 6 anni,977
365,18,Parco Lambro - Cimiano  ,Minori di 6 anni,843
366,19,Padova  ,Minori di 6 anni,1681
367,20,Loreto  ,Minori di 6 anni,2098
368,21,Buenos Aires - Venezia  ,Minori di 6 anni,3053
369,22,Citt_tudi  ,Minori di 6 anni,1593
370,23,Lambrate  ,Minori di 6 anni,578
371,24,Parco Forlanini - Ortica  ,Minori di 6 anni,50
372,25,Corsica  ,Minori di 6 anni,924
373,26,XXII Marzo  ,Minori di 6 anni,1637
374,27,Porta Romana  ,Minori di 6 anni,856
375,28,Umbria - Molise  ,Minori di 6 anni,1097
376,29,Ortomercato  ,Minori di 6 anni,180
377,30,Mecenate  ,Minori di 6 anni,939
378,31,Parco Monlu Ponte Lambro  ,Minori di 6 anni,249
379,32,Triulzo Superiore  ,Minori di 6 anni,101
380,33,Rogoredo  ,Minori di 6 anni,615
